Tanggal;Prov;Provinsi;Running Sum of divaksin2 (ribu);divaksin2 (ribu)
11/06/2021 00.00.00;Yogyakarta;Yogyakarta;375,139;0,547
12/06/2021 00.00.00;Yogyakarta;Yogyakarta;375,312;0,173
13/06/2021 00.00.00;Yogyakarta;Yogyakarta;375,315;0,003
14/06/2021 00.00.00;Yogyakarta;Yogyakarta;376,713;1,398
15/06/2021 00.00.00;Yogyakarta;Yogyakarta;378,44;1,727
16/06/2021 00.00.00;Yogyakarta;Yogyakarta;380,984;2,544
17/06/2021 00.00.00;Yogyakarta;Yogyakarta;383,636;2,652
18/06/2021 00.00.00;Yogyakarta;Yogyakarta;384,607;0,971
19/06/2021 00.00.00;Yogyakarta;Yogyakarta;386,821;2,214
20/06/2021 00.00.00;Yogyakarta;Yogyakarta;387,044;0,223
21/06/2021 00.00.00;Yogyakarta;Yogyakarta;389,234;2,19
22/06/2021 00.00.00;Yogyakarta;Yogyakarta;391,811;2,577
23/06/2021 00.00.00;Yogyakarta;Yogyakarta;392,965;1,154
24/06/2021 00.00.00;Yogyakarta;Yogyakarta;395,835;2,87
25/06/2021 00.00.00;Yogyakarta;Yogyakarta;396,878;1,043
26/06/2021 00.00.00;Yogyakarta;Yogyakarta;399,16;2,282
27/06/2021 00.00.00;Yogyakarta;Yogyakarta;399,356;0,196
28/06/2021 00.00.00;Yogyakarta;Yogyakarta;401,158;1,802
29/06/2021 00.00.00;Yogyakarta;Yogyakarta;401,864;0,706
30/06/2021 00.00.00;Yogyakarta;Yogyakarta;403,186;1,322
01/07/2021 00.00.00;Yogyakarta;Yogyakarta;404,984;1,798
02/07/2021 00.00.00;Yogyakarta;Yogyakarta;405,917;0,933
03/07/2021 00.00.00;Yogyakarta;Yogyakarta;406,566;0,649
04/07/2021 00.00.00;Yogyakarta;Yogyakarta;406,57;0,004
05/07/2021 00.00.00;Yogyakarta;Yogyakarta;407,875;1,305
06/07/2021 00.00.00;Yogyakarta;Yogyakarta;408,62;0,745
07/07/2021 00.00.00;Yogyakarta;Yogyakarta;409,21;0,59
08/07/2021 00.00.00;Yogyakarta;Yogyakarta;410,192;0,982
09/07/2021 00.00.00;Yogyakarta;Yogyakarta;410,429;0,237
10/07/2021 00.00.00;Yogyakarta;Yogyakarta;410,843;0,414
11/07/2021 00.00.00;Yogyakarta;Yogyakarta;411,474;0,631
12/07/2021 00.00.00;Yogyakarta;Yogyakarta;411,864;0,39
13/07/2021 00.00.00;Yogyakarta;Yogyakarta;412,431;0,567
14/07/2021 00.00.00;Yogyakarta;Yogyakarta;412,715;0,284
15/07/2021 00.00.00;Yogyakarta;Yogyakarta;413,137;0,422
16/07/2021 00.00.00;Yogyakarta;Yogyakarta;413,3;0,163
17/07/2021 00.00.00;Yogyakarta;Yogyakarta;413,454;0,154
18/07/2021 00.00.00;Yogyakarta;Yogyakarta;413,465;0,011
19/07/2021 00.00.00;Yogyakarta;Yogyakarta;413,792;0,327
20/07/2021 00.00.00;Yogyakarta;Yogyakarta;413,81;0,018
21/07/2021 00.00.00;Yogyakarta;Yogyakarta;414,411;0,601
22/07/2021 00.00.00;Yogyakarta;Yogyakarta;415,652;1,241
23/07/2021 00.00.00;Yogyakarta;Yogyakarta;416,913;1,261
24/07/2021 00.00.00;Yogyakarta;Yogyakarta;425,157;8,244
25/07/2021 00.00.00;Yogyakarta;Yogyakarta;425,209;0,052
26/07/2021 00.00.00;Yogyakarta;Yogyakarta;427,784;2,575
27/07/2021 00.00.00;Yogyakarta;Yogyakarta;432,18;4,396
28/07/2021 00.00.00;Yogyakarta;Yogyakarta;436,006;3,826
29/07/2021 00.00.00;Yogyakarta;Yogyakarta;441,683;5,677
30/07/2021 00.00.00;Yogyakarta;Yogyakarta;444,792;3,109
31/07/2021 00.00.00;Yogyakarta;Yogyakarta;448,838;4,046
01/08/2021 00.00.00;Yogyakarta;Yogyakarta;449,877;1,039
02/08/2021 00.00.00;Yogyakarta;Yogyakarta;456,432;6,555
03/08/2021 00.00.00;Yogyakarta;Yogyakarta;465,605;9,173
04/08/2021 00.00.00;Yogyakarta;Yogyakarta;472,957;7,352
05/08/2021 00.00.00;Yogyakarta;Yogyakarta;481,152;8,195
06/08/2021 00.00.00;Yogyakarta;Yogyakarta;485,634;4,482
07/08/2021 00.00.00;Yogyakarta;Yogyakarta;491,675;6,041
08/08/2021 00.00.00;Yogyakarta;Yogyakarta;492,778;1,103
09/08/2021 00.00.00;Yogyakarta;Yogyakarta;500,265;7,487
10/08/2021 00.00.00;Yogyakarta;Yogyakarta;506,642;6,377
11/08/2021 00.00.00;Yogyakarta;Yogyakarta;510,579;3,937
12/08/2021 00.00.00;Yogyakarta;Yogyakarta;526,469;15,89
13/08/2021 00.00.00;Yogyakarta;Yogyakarta;532,928;6,459
14/08/2021 00.00.00;Yogyakarta;Yogyakarta;541,43;8,502
15/08/2021 00.00.00;Yogyakarta;Yogyakarta;544,858;3,428
16/08/2021 00.00.00;Yogyakarta;Yogyakarta;553,279;8,421
17/08/2021 00.00.00;Yogyakarta;Yogyakarta;554,306;1,027
18/08/2021 00.00.00;Yogyakarta;Yogyakarta;568,88;14,574
19/08/2021 00.00.00;Yogyakarta;Yogyakarta;585,507;16,627
20/08/2021 00.00.00;Yogyakarta;Yogyakarta;594,235;8,728
21/08/2021 00.00.00;Yogyakarta;Yogyakarta;602,699;8,464
22/08/2021 00.00.00;Yogyakarta;Yogyakarta;606,36;3,661
23/08/2021 00.00.00;Yogyakarta;Yogyakarta;625,536;19,176
24/08/2021 00.00.00;Yogyakarta;Yogyakarta;644,357;18,821
25/08/2021 00.00.00;Yogyakarta;Yogyakarta;662,41;18,053
26/08/2021 00.00.00;Yogyakarta;Yogyakarta;683,83;21,42
27/08/2021 00.00.00;Yogyakarta;Yogyakarta;695,786;11,956
28/08/2021 00.00.00;Yogyakarta;Yogyakarta;707,605;11,819
29/08/2021 00.00.00;Yogyakarta;Yogyakarta;712,305;4,7
30/08/2021 00.00.00;Yogyakarta;Yogyakarta;726,451;14,146
31/08/2021 00.00.00;Yogyakarta;Yogyakarta;739,473;13,022
01/09/2021 00.00.00;Yogyakarta;Yogyakarta;755,54;16,067
02/09/2021 00.00.00;Yogyakarta;Yogyakarta;779,144;23,604
03/09/2021 00.00.00;Yogyakarta;Yogyakarta;795,191;16,047
04/09/2021 00.00.00;Yogyakarta;Yogyakarta;811,55;16,359
05/09/2021 00.00.00;Yogyakarta;Yogyakarta;817,774;6,224
06/09/2021 00.00.00;Yogyakarta;Yogyakarta;837,272;19,498
07/09/2021 00.00.00;Yogyakarta;Yogyakarta;853,477;16,205
08/09/2021 00.00.00;Yogyakarta;Yogyakarta;872,115;18,638
09/09/2021 00.00.00;Yogyakarta;Yogyakarta;895,924;23,809
10/09/2021 00.00.00;Yogyakarta;Yogyakarta;912,542;16,618
