Tanggal;Provinsi;Running Sum of divaksin1 (ribu);divaksin1 (ribu)
08/05/2022 00.00.00;Maluku Utara;830,701;0,215
09/05/2022 00.00.00;Maluku Utara;831,381;0,68
10/05/2022 00.00.00;Maluku Utara;832,116;0,735
11/05/2022 00.00.00;Maluku Utara;832,787;0,671
12/05/2022 00.00.00;Maluku Utara;833,312;0,525
13/05/2022 00.00.00;Maluku Utara;833,71;0,398
14/05/2022 00.00.00;Maluku Utara;834,297;0,587
15/05/2022 00.00.00;Maluku Utara;834,396;0,099
16/05/2022 00.00.00;Maluku Utara;834,756;0,36
17/05/2022 00.00.00;Maluku Utara;835,374;0,618
18/05/2022 00.00.00;Maluku Utara;835,92;0,546
19/05/2022 00.00.00;Maluku Utara;836,508;0,588
20/05/2022 00.00.00;Maluku Utara;837,058;0,55
21/05/2022 00.00.00;Maluku Utara;837,609;0,551
22/05/2022 00.00.00;Maluku Utara;837,931;0,322
23/05/2022 00.00.00;Maluku Utara;838,643;0,712
24/05/2022 00.00.00;Maluku Utara;839,374;0,731
25/05/2022 00.00.00;Maluku Utara;839,914;0,54
26/05/2022 00.00.00;Maluku Utara;840,383;0,469
27/05/2022 00.00.00;Maluku Utara;840,812;0,429
28/05/2022 00.00.00;Maluku Utara;841,193;0,381
29/05/2022 00.00.00;Maluku Utara;841,343;0,15
30/05/2022 00.00.00;Maluku Utara;841,834;0,491
31/05/2022 00.00.00;Maluku Utara;842,309;0,475
01/06/2022 00.00.00;Maluku Utara;842,656;0,347
02/06/2022 00.00.00;Maluku Utara;843,191;0,535
03/06/2022 00.00.00;Maluku Utara;843,915;0,724
04/06/2022 00.00.00;Maluku Utara;844,142;0,227
05/06/2022 00.00.00;Maluku Utara;844,284;0,142
06/06/2022 00.00.00;Maluku Utara;844,952;0,668
07/06/2022 00.00.00;Maluku Utara;845,898;0,946
08/06/2022 00.00.00;Maluku Utara;846,62;0,722
09/06/2022 00.00.00;Maluku Utara;847,035;0,415
10/06/2022 00.00.00;Maluku Utara;847,419;0,384
11/06/2022 00.00.00;Maluku Utara;847,619;0,2
12/06/2022 00.00.00;Maluku Utara;847,793;0,174
13/06/2022 00.00.00;Maluku Utara;848,338;0,545
14/06/2022 00.00.00;Maluku Utara;848,927;0,589
15/06/2022 00.00.00;Maluku Utara;849,318;0,391
16/06/2022 00.00.00;Maluku Utara;849,63;0,312
17/06/2022 00.00.00;Maluku Utara;850,364;0,734
18/06/2022 00.00.00;Maluku Utara;850,632;0,268
19/06/2022 00.00.00;Maluku Utara;850,73;0,098
20/06/2022 00.00.00;Maluku Utara;851,042;0,312
21/06/2022 00.00.00;Maluku Utara;851,389;0,347
22/06/2022 00.00.00;Maluku Utara;851,755;0,366
23/06/2022 00.00.00;Maluku Utara;852,122;0,367
24/06/2022 00.00.00;Maluku Utara;852,497;0,375
25/06/2022 00.00.00;Maluku Utara;852,937;0,44
26/06/2022 00.00.00;Maluku Utara;853,245;0,308
27/06/2022 00.00.00;Maluku Utara;853,606;0,361
28/06/2022 00.00.00;Maluku Utara;853,825;0,219
29/06/2022 00.00.00;Maluku Utara;854,107;0,282
30/06/2022 00.00.00;Maluku Utara;854,348;0,241
01/07/2022 00.00.00;Maluku Utara;854,69;0,342
02/07/2022 00.00.00;Maluku Utara;854,804;0,114
03/07/2022 00.00.00;Maluku Utara;854,87;0,066
04/07/2022 00.00.00;Maluku Utara;855,087;0,217
05/07/2022 00.00.00;Maluku Utara;855,309;0,222
06/07/2022 00.00.00;Maluku Utara;855,485;0,176
07/07/2022 00.00.00;Maluku Utara;855,668;0,183
08/07/2022 00.00.00;Maluku Utara;855,852;0,184
09/07/2022 00.00.00;Maluku Utara;855,895;0,043
10/07/2022 00.00.00;Maluku Utara;855,995;0,1
11/07/2022 00.00.00;Maluku Utara;856,133;0,138
12/07/2022 00.00.00;Maluku Utara;856,266;0,133
13/07/2022 00.00.00;Maluku Utara;856,43;0,164
14/07/2022 00.00.00;Maluku Utara;856,671;0,241
15/07/2022 00.00.00;Maluku Utara;856,865;0,194
16/07/2022 00.00.00;Maluku Utara;856,983;0,118
17/07/2022 00.00.00;Maluku Utara;857,018;0,035
18/07/2022 00.00.00;Maluku Utara;857,246;0,228
19/07/2022 00.00.00;Maluku Utara;857,402;0,156
20/07/2022 00.00.00;Maluku Utara;857,634;0,232
21/07/2022 00.00.00;Maluku Utara;857,837;0,203
22/07/2022 00.00.00;Maluku Utara;858,015;0,178
23/07/2022 00.00.00;Maluku Utara;858,175;0,16
24/07/2022 00.00.00;Maluku Utara;858,264;0,089
25/07/2022 00.00.00;Maluku Utara;858,614;0,35
26/07/2022 00.00.00;Maluku Utara;858,801;0,187
27/07/2022 00.00.00;Maluku Utara;858,992;0,191
28/07/2022 00.00.00;Maluku Utara;859,231;0,239
29/07/2022 00.00.00;Maluku Utara;859,45;0,219
30/07/2022 00.00.00;Maluku Utara;859,601;0,151
31/07/2022 00.00.00;Maluku Utara;859,662;0,061
01/08/2022 00.00.00;Maluku Utara;859,981;0,319
02/08/2022 00.00.00;Maluku Utara;860,161;0,18
03/08/2022 00.00.00;Maluku Utara;860,368;0,207
04/08/2022 00.00.00;Maluku Utara;860,649;0,281
05/08/2022 00.00.00;Maluku Utara;860,75;0,101
06/08/2022 00.00.00;Maluku Utara;860,859;0,109
07/08/2022 00.00.00;Maluku Utara;860,874;0,015
08/08/2022 00.00.00;Maluku Utara;860,984;0,11
09/08/2022 00.00.00;Maluku Utara;861,085;0,101
10/08/2022 00.00.00;Maluku Utara;861,262;0,177
11/08/2022 00.00.00;Maluku Utara;861,367;0,105
12/08/2022 00.00.00;Maluku Utara;861,439;0,072
13/08/2022 00.00.00;Maluku Utara;861,497;0,058
14/08/2022 00.00.00;Maluku Utara;861,518;0,021
15/08/2022 00.00.00;Maluku Utara;861,599;0,081
16/08/2022 00.00.00;Maluku Utara;861,688;0,089
17/08/2022 00.00.00;Maluku Utara;861,705;0,017
18/08/2022 00.00.00;Maluku Utara;861,798;0,093
19/08/2022 00.00.00;Maluku Utara;861,872;0,074
20/08/2022 00.00.00;Maluku Utara;861,976;0,104
21/08/2022 00.00.00;Maluku Utara;862,002;0,026
22/08/2022 00.00.00;Maluku Utara;862,185;0,183
23/08/2022 00.00.00;Maluku Utara;862,372;0,187
24/08/2022 00.00.00;Maluku Utara;862,548;0,176
25/08/2022 00.00.00;Maluku Utara;862,774;0,226
26/08/2022 00.00.00;Maluku Utara;862,917;0,143
27/08/2022 00.00.00;Maluku Utara;863,081;0,164
28/08/2022 00.00.00;Maluku Utara;863,154;0,073
29/08/2022 00.00.00;Maluku Utara;863,354;0,2
30/08/2022 00.00.00;Maluku Utara;863,53;0,176
31/08/2022 00.00.00;Maluku Utara;863,723;0,193
01/09/2022 00.00.00;Maluku Utara;863,947;0,224
02/09/2022 00.00.00;Maluku Utara;864,045;0,098
03/09/2022 00.00.00;Maluku Utara;864,133;0,088
04/09/2022 00.00.00;Maluku Utara;864,154;0,021
05/09/2022 00.00.00;Maluku Utara;864,35;0,196
06/09/2022 00.00.00;Maluku Utara;864,512;0,162
07/09/2022 00.00.00;Maluku Utara;864,653;0,141
08/09/2022 00.00.00;Maluku Utara;864,814;0,161
09/09/2022 00.00.00;Maluku Utara;864,905;0,091
10/09/2022 00.00.00;Maluku Utara;865,045;0,14
11/09/2022 00.00.00;Maluku Utara;865,061;0,016
12/09/2022 00.00.00;Maluku Utara;865,287;0,226
13/09/2022 00.00.00;Maluku Utara;865,504;0,217
14/09/2022 00.00.00;Maluku Utara;865,616;0,112
15/09/2022 00.00.00;Maluku Utara;865,8;0,184
16/09/2022 00.00.00;Maluku Utara;865,901;0,101
17/09/2022 00.00.00;Maluku Utara;865,964;0,063
18/09/2022 00.00.00;Maluku Utara;865,977;0,013
19/09/2022 00.00.00;Maluku Utara;866,142;0,165
20/09/2022 00.00.00;Maluku Utara;866,291;0,149
21/09/2022 00.00.00;Maluku Utara;866,436;0,145
22/09/2022 00.00.00;Maluku Utara;866,58;0,144
23/09/2022 00.00.00;Maluku Utara;866,736;0,156
24/09/2022 00.00.00;Maluku Utara;866,862;0,126
25/09/2022 00.00.00;Maluku Utara;866,927;0,065
26/09/2022 00.00.00;Maluku Utara;867,12;0,193
27/09/2022 00.00.00;Maluku Utara;867,322;0,202
28/09/2022 00.00.00;Maluku Utara;867,485;0,163
29/09/2022 00.00.00;Maluku Utara;867,624;0,139
30/09/2022 00.00.00;Maluku Utara;867,716;0,092
01/10/2022 00.00.00;Maluku Utara;867,817;0,101
02/10/2022 00.00.00;Maluku Utara;867,833;0,016
03/10/2022 00.00.00;Maluku Utara;867,951;0,118
04/10/2022 00.00.00;Maluku Utara;868,058;0,107
05/10/2022 00.00.00;Maluku Utara;868,167;0,109
06/10/2022 00.00.00;Maluku Utara;868,289;0,122
07/10/2022 00.00.00;Maluku Utara;868,354;0,065
08/10/2022 00.00.00;Maluku Utara;868,371;0,017
09/10/2022 00.00.00;Maluku Utara;868,373;0,002
10/10/2022 00.00.00;Maluku Utara;868,435;0,062
11/10/2022 00.00.00;Maluku Utara;868,497;0,062
12/10/2022 00.00.00;Maluku Utara;868,588;0,091
13/10/2022 00.00.00;Maluku Utara;868,662;0,074
14/10/2022 00.00.00;Maluku Utara;868,677;0,015
15/10/2022 00.00.00;Maluku Utara;868,694;0,017
16/10/2022 00.00.00;Maluku Utara;868,698;0,004
17/10/2022 00.00.00;Maluku Utara;868,747;0,049
18/10/2022 00.00.00;Maluku Utara;868,8;0,053
19/10/2022 00.00.00;Maluku Utara;868,834;0,034
20/10/2022 00.00.00;Maluku Utara;868,868;0,034
21/10/2022 00.00.00;Maluku Utara;868,891;0,023
22/10/2022 00.00.00;Maluku Utara;868,906;0,015
23/10/2022 00.00.00;Maluku Utara;868,91;0,004
24/10/2022 00.00.00;Maluku Utara;868,938;0,028
25/10/2022 00.00.00;Maluku Utara;868,954;0,016
26/10/2022 00.00.00;Maluku Utara;868,986;0,032
27/10/2022 00.00.00;Maluku Utara;869,011;0,025
28/10/2022 00.00.00;Maluku Utara;869,032;0,021
29/10/2022 00.00.00;Maluku Utara;869,051;0,019
30/10/2022 00.00.00;Maluku Utara;869,097;0,046
31/10/2022 00.00.00;Maluku Utara;869,161;0,064
01/11/2022 00.00.00;Maluku Utara;869,247;0,086
02/11/2022 00.00.00;Maluku Utara;869,275;0,028
13/01/2021 00.00.00;Maluku;0,001;0,001
14/01/2021 00.00.00;Maluku;0,003;0,002
15/01/2021 00.00.00;Maluku;0,208;0,205
16/01/2021 00.00.00;Maluku;0,21;0,002
17/01/2021 00.00.00;Maluku;0,211;0,001
18/01/2021 00.00.00;Maluku;0,308;0,097
19/01/2021 00.00.00;Maluku;0,422;0,114
20/01/2021 00.00.00;Maluku;0,551;0,129
21/01/2021 00.00.00;Maluku;0,906;0,355
22/01/2021 00.00.00;Maluku;1,017;0,111
23/01/2021 00.00.00;Maluku;1,09;0,073
24/01/2021 00.00.00;Maluku;1,105;0,015
25/01/2021 00.00.00;Maluku;1,234;0,129
26/01/2021 00.00.00;Maluku;1,336;0,102
27/01/2021 00.00.00;Maluku;1,505;0,169
28/01/2021 00.00.00;Maluku;1,817;0,312
29/01/2021 00.00.00;Maluku;2,189;0,372
30/01/2021 00.00.00;Maluku;2,471;0,282
31/01/2021 00.00.00;Maluku;2,506;0,035
01/02/2021 00.00.00;Maluku;2,981;0,475
02/02/2021 00.00.00;Maluku;3,493;0,512
03/02/2021 00.00.00;Maluku;4,007;0,514
04/02/2021 00.00.00;Maluku;4,495;0,488
05/02/2021 00.00.00;Maluku;4,927;0,432
06/02/2021 00.00.00;Maluku;5,673;0,746
07/02/2021 00.00.00;Maluku;5,797;0,124
08/02/2021 00.00.00;Maluku;6,31;0,513
09/02/2021 00.00.00;Maluku;6,573;0,263
10/02/2021 00.00.00;Maluku;7,005;0,432
11/02/2021 00.00.00;Maluku;7,305;0,3
12/02/2021 00.00.00;Maluku;7,39;0,085
13/02/2021 00.00.00;Maluku;7,527;0,137
14/02/2021 00.00.00;Maluku;7,529;0,002
15/02/2021 00.00.00;Maluku;7,899;0,37
16/02/2021 00.00.00;Maluku;8,346;0,447
17/02/2021 00.00.00;Maluku;8,764;0,418
18/02/2021 00.00.00;Maluku;9,17;0,406
19/02/2021 00.00.00;Maluku;9,437;0,267
20/02/2021 00.00.00;Maluku;9,611;0,174
21/02/2021 00.00.00;Maluku;9,626;0,015
22/02/2021 00.00.00;Maluku;9,925;0,299
23/02/2021 00.00.00;Maluku;10,096;0,171
24/02/2021 00.00.00;Maluku;10,205;0,109
25/02/2021 00.00.00;Maluku;10,368;0,163
26/02/2021 00.00.00;Maluku;10,489;0,121
27/02/2021 00.00.00;Maluku;10,572;0,083
28/02/2021 00.00.00;Maluku;10,573;0,001
01/03/2021 00.00.00;Maluku;10,655;0,082
02/03/2021 00.00.00;Maluku;10,779;0,124
03/03/2021 00.00.00;Maluku;11,083;0,304
04/03/2021 00.00.00;Maluku;11,457;0,374
05/03/2021 00.00.00;Maluku;11,99;0,533
06/03/2021 00.00.00;Maluku;12,537;0,547
07/03/2021 00.00.00;Maluku;12,552;0,015
08/03/2021 00.00.00;Maluku;13,285;0,733
09/03/2021 00.00.00;Maluku;14,595;1,31
10/03/2021 00.00.00;Maluku;16,616;2,021
11/03/2021 00.00.00;Maluku;16,64;0,024
12/03/2021 00.00.00;Maluku;17,998;1,358
13/03/2021 00.00.00;Maluku;19,78;1,782
14/03/2021 00.00.00;Maluku;19,781;0,001
15/03/2021 00.00.00;Maluku;20,911;1,13
16/03/2021 00.00.00;Maluku;23,237;2,326
17/03/2021 00.00.00;Maluku;25,246;2,009
18/03/2021 00.00.00;Maluku;27,229;1,983
19/03/2021 00.00.00;Maluku;29,488;2,259
20/03/2021 00.00.00;Maluku;29,942;0,454
21/03/2021 00.00.00;Maluku;29,957;0,015
22/03/2021 00.00.00;Maluku;31,646;1,689
23/03/2021 00.00.00;Maluku;33,286;1,64
24/03/2021 00.00.00;Maluku;34,59;1,304
25/03/2021 00.00.00;Maluku;35,689;1,099
26/03/2021 00.00.00;Maluku;36,723;1,034
27/03/2021 00.00.00;Maluku;36,958;0,235
28/03/2021 00.00.00;Maluku;37,247;0,289
29/03/2021 00.00.00;Maluku;38,131;0,884
30/03/2021 00.00.00;Maluku;39,472;1,341
31/03/2021 00.00.00;Maluku;40,412;0,94
01/04/2021 00.00.00;Maluku;41,542;1,13
02/04/2021 00.00.00;Maluku;41,553;0,011
03/04/2021 00.00.00;Maluku;41,981;0,428
04/04/2021 00.00.00;Maluku;41,983;0,002
05/04/2021 00.00.00;Maluku;42,438;0,455
06/04/2021 00.00.00;Maluku;43,669;1,231
07/04/2021 00.00.00;Maluku;44,883;1,214
08/04/2021 00.00.00;Maluku;45,536;0,653
09/04/2021 00.00.00;Maluku;46,839;1,303
10/04/2021 00.00.00;Maluku;48,024;1,185
11/04/2021 00.00.00;Maluku;48,084;0,06
12/04/2021 00.00.00;Maluku;48,643;0,559
13/04/2021 00.00.00;Maluku;48,93;0,287
14/04/2021 00.00.00;Maluku;49,47;0,54
15/04/2021 00.00.00;Maluku;50,155;0,685
16/04/2021 00.00.00;Maluku;52,073;1,918
17/04/2021 00.00.00;Maluku;52,34;0,267
18/04/2021 00.00.00;Maluku;52,43;0,09
19/04/2021 00.00.00;Maluku;52,89;0,46
20/04/2021 00.00.00;Maluku;53,383;0,493
21/04/2021 00.00.00;Maluku;54,027;0,644
22/04/2021 00.00.00;Maluku;55,148;1,121
23/04/2021 00.00.00;Maluku;56,368;1,22
24/04/2021 00.00.00;Maluku;57,249;0,881
25/04/2021 00.00.00;Maluku;57,36;0,111
26/04/2021 00.00.00;Maluku;58,854;1,494
27/04/2021 00.00.00;Maluku;60,521;1,667
28/04/2021 00.00.00;Maluku;62,176;1,655
29/04/2021 00.00.00;Maluku;63,154;0,978
30/04/2021 00.00.00;Maluku;64,053;0,899
01/05/2021 00.00.00;Maluku;64,156;0,103
02/05/2021 00.00.00;Maluku;64,193;0,037
03/05/2021 00.00.00;Maluku;64,758;0,565
04/05/2021 00.00.00;Maluku;65,057;0,299
05/05/2021 00.00.00;Maluku;65,742;0,685
06/05/2021 00.00.00;Maluku;66,016;0,274
07/05/2021 00.00.00;Maluku;66,673;0,657
08/05/2021 00.00.00;Maluku;66,901;0,228
09/05/2021 00.00.00;Maluku;66,904;0,003
10/05/2021 00.00.00;Maluku;67,261;0,357
11/05/2021 00.00.00;Maluku;67,515;0,254
12/05/2021 00.00.00;Maluku;67,568;0,053
13/05/2021 00.00.00;Maluku;67,568;0
14/05/2021 00.00.00;Maluku;67,576;0,008
15/05/2021 00.00.00;Maluku;67,585;0,009
16/05/2021 00.00.00;Maluku;67,585;0
17/05/2021 00.00.00;Maluku;67,711;0,126
18/05/2021 00.00.00;Maluku;67,967;0,256
19/05/2021 00.00.00;Maluku;68,781;0,814
20/05/2021 00.00.00;Maluku;69,429;0,648
21/05/2021 00.00.00;Maluku;70,04;0,611
22/05/2021 00.00.00;Maluku;70,413;0,373
23/05/2021 00.00.00;Maluku;70,518;0,105
24/05/2021 00.00.00;Maluku;71,64;1,122
25/05/2021 00.00.00;Maluku;72,934;1,294
26/05/2021 00.00.00;Maluku;73,612;0,678
27/05/2021 00.00.00;Maluku;75,33;1,718
28/05/2021 00.00.00;Maluku;76,926;1,596
29/05/2021 00.00.00;Maluku;78,79;1,864
30/05/2021 00.00.00;Maluku;80,032;1,242
31/05/2021 00.00.00;Maluku;84,115;4,083
01/06/2021 00.00.00;Maluku;84,118;0,003
02/06/2021 00.00.00;Maluku;84,467;0,349
03/06/2021 00.00.00;Maluku;84,947;0,48
04/06/2021 00.00.00;Maluku;85,28;0,333
05/06/2021 00.00.00;Maluku;85,385;0,105
06/06/2021 00.00.00;Maluku;85,516;0,131
07/06/2021 00.00.00;Maluku;86,109;0,593
08/06/2021 00.00.00;Maluku;86,807;0,698
09/06/2021 00.00.00;Maluku;87,362;0,555
10/06/2021 00.00.00;Maluku;87,829;0,467
11/06/2021 00.00.00;Maluku;88,639;0,81
12/06/2021 00.00.00;Maluku;89,369;0,73
13/06/2021 00.00.00;Maluku;89,66;0,291
14/06/2021 00.00.00;Maluku;90,745;1,085
15/06/2021 00.00.00;Maluku;91,585;0,84
16/06/2021 00.00.00;Maluku;93,094;1,509
17/06/2021 00.00.00;Maluku;93,973;0,879
18/06/2021 00.00.00;Maluku;95,231;1,258
19/06/2021 00.00.00;Maluku;96,305;1,074
20/06/2021 00.00.00;Maluku;96,508;0,203
21/06/2021 00.00.00;Maluku;97,195;0,687
22/06/2021 00.00.00;Maluku;97,875;0,68
23/06/2021 00.00.00;Maluku;98,441;0,566
24/06/2021 00.00.00;Maluku;99,366;0,925
25/06/2021 00.00.00;Maluku;100,184;0,818
26/06/2021 00.00.00;Maluku;112,181;11,997
27/06/2021 00.00.00;Maluku;112,987;0,806
28/06/2021 00.00.00;Maluku;117,964;4,977
29/06/2021 00.00.00;Maluku;124,464;6,5
30/06/2021 00.00.00;Maluku;132,43;7,966
01/07/2021 00.00.00;Maluku;137,689;5,259
02/07/2021 00.00.00;Maluku;142,844;5,155
03/07/2021 00.00.00;Maluku;147,339;4,495
04/07/2021 00.00.00;Maluku;148,416;1,077
05/07/2021 00.00.00;Maluku;153,452;5,036
06/07/2021 00.00.00;Maluku;159,913;6,461
07/07/2021 00.00.00;Maluku;166,253;6,34
08/07/2021 00.00.00;Maluku;170,782;4,529
09/07/2021 00.00.00;Maluku;174,342;3,56
10/07/2021 00.00.00;Maluku;176,926;2,584
11/07/2021 00.00.00;Maluku;177,159;0,233
12/07/2021 00.00.00;Maluku;180,936;3,777
13/07/2021 00.00.00;Maluku;184,308;3,372
14/07/2021 00.00.00;Maluku;187,773;3,465
15/07/2021 00.00.00;Maluku;190,924;3,151
16/07/2021 00.00.00;Maluku;195,848;4,924
17/07/2021 00.00.00;Maluku;199,743;3,895
18/07/2021 00.00.00;Maluku;199,993;0,25
19/07/2021 00.00.00;Maluku;201,653;1,66
20/07/2021 00.00.00;Maluku;201,725;0,072
21/07/2021 00.00.00;Maluku;203,474;1,749
22/07/2021 00.00.00;Maluku;205,438;1,964
23/07/2021 00.00.00;Maluku;208,266;2,828
24/07/2021 00.00.00;Maluku;210,734;2,468
25/07/2021 00.00.00;Maluku;210,897;0,163
26/07/2021 00.00.00;Maluku;213,543;2,646
27/07/2021 00.00.00;Maluku;215,58;2,037
28/07/2021 00.00.00;Maluku;218,11;2,53
29/07/2021 00.00.00;Maluku;220,07;1,96
30/07/2021 00.00.00;Maluku;221,463;1,393
31/07/2021 00.00.00;Maluku;222,778;1,315
01/08/2021 00.00.00;Maluku;222,832;0,054
02/08/2021 00.00.00;Maluku;224,708;1,876
03/08/2021 00.00.00;Maluku;226,622;1,914
04/08/2021 00.00.00;Maluku;228,828;2,206
05/08/2021 00.00.00;Maluku;230,867;2,039
06/08/2021 00.00.00;Maluku;232,836;1,969
07/08/2021 00.00.00;Maluku;234,613;1,777
08/08/2021 00.00.00;Maluku;234,818;0,205
09/08/2021 00.00.00;Maluku;236,872;2,054
10/08/2021 00.00.00;Maluku;238,726;1,854
11/08/2021 00.00.00;Maluku;239,694;0,968
12/08/2021 00.00.00;Maluku;242,737;3,043
13/08/2021 00.00.00;Maluku;245,064;2,327
14/08/2021 00.00.00;Maluku;247,895;2,831
15/08/2021 00.00.00;Maluku;248,452;0,557
16/08/2021 00.00.00;Maluku;251,323;2,871
17/08/2021 00.00.00;Maluku;251,975;0,652
18/08/2021 00.00.00;Maluku;255,411;3,436
19/08/2021 00.00.00;Maluku;257,91;2,499
20/08/2021 00.00.00;Maluku;259,666;1,756
21/08/2021 00.00.00;Maluku;261,262;1,596
22/08/2021 00.00.00;Maluku;261,528;0,266
23/08/2021 00.00.00;Maluku;263,953;2,425
24/08/2021 00.00.00;Maluku;266,308;2,355
25/08/2021 00.00.00;Maluku;268,308;2
26/08/2021 00.00.00;Maluku;270,392;2,084
27/08/2021 00.00.00;Maluku;274,156;3,764
28/08/2021 00.00.00;Maluku;277,264;3,108
29/08/2021 00.00.00;Maluku;277,358;0,094
30/08/2021 00.00.00;Maluku;281,983;4,625
31/08/2021 00.00.00;Maluku;287,121;5,138
01/09/2021 00.00.00;Maluku;291,738;4,617
02/09/2021 00.00.00;Maluku;296,776;5,038
03/09/2021 00.00.00;Maluku;300,281;3,505
04/09/2021 00.00.00;Maluku;303,11;2,829
05/09/2021 00.00.00;Maluku;303,577;0,467
06/09/2021 00.00.00;Maluku;308,784;5,207
07/09/2021 00.00.00;Maluku;314,749;5,965
08/09/2021 00.00.00;Maluku;318,086;3,337
09/09/2021 00.00.00;Maluku;322,353;4,267
10/09/2021 00.00.00;Maluku;325,888;3,535
11/09/2021 00.00.00;Maluku;329,215;3,327
12/09/2021 00.00.00;Maluku;329,69;0,475
13/09/2021 00.00.00;Maluku;334,591;4,901
14/09/2021 00.00.00;Maluku;338,917;4,326
15/09/2021 00.00.00;Maluku;342,487;3,57
16/09/2021 00.00.00;Maluku;348,514;6,027
17/09/2021 00.00.00;Maluku;351,47;2,956
18/09/2021 00.00.00;Maluku;354,626;3,156
19/09/2021 00.00.00;Maluku;355,515;0,889
20/09/2021 00.00.00;Maluku;358,914;3,399
21/09/2021 00.00.00;Maluku;362,299;3,385
22/09/2021 00.00.00;Maluku;365,829;3,53
23/09/2021 00.00.00;Maluku;369,784;3,955
24/09/2021 00.00.00;Maluku;372,827;3,043
25/09/2021 00.00.00;Maluku;375,078;2,251
26/09/2021 00.00.00;Maluku;375,486;0,408
27/09/2021 00.00.00;Maluku;379,514;4,028
28/09/2021 00.00.00;Maluku;383,361;3,847
29/09/2021 00.00.00;Maluku;386,885;3,524
30/09/2021 00.00.00;Maluku;391,42;4,535
01/10/2021 00.00.00;Maluku;395,241;3,821
02/10/2021 00.00.00;Maluku;398,081;2,84
03/10/2021 00.00.00;Maluku;398,375;0,294
04/10/2021 00.00.00;Maluku;400,991;2,616
05/10/2021 00.00.00;Maluku;404,708;3,717
06/10/2021 00.00.00;Maluku;407,898;3,19
07/10/2021 00.00.00;Maluku;412,175;4,277
08/10/2021 00.00.00;Maluku;415,724;3,549
09/10/2021 00.00.00;Maluku;418,779;3,055
10/10/2021 00.00.00;Maluku;419,639;0,86
11/10/2021 00.00.00;Maluku;423,018;3,379
12/10/2021 00.00.00;Maluku;426,171;3,153
13/10/2021 00.00.00;Maluku;429,733;3,562
14/10/2021 00.00.00;Maluku;433,005;3,272
15/10/2021 00.00.00;Maluku;435,848;2,843
16/10/2021 00.00.00;Maluku;439,361;3,513
17/10/2021 00.00.00;Maluku;440,166;0,805
18/10/2021 00.00.00;Maluku;444,327;4,161
19/10/2021 00.00.00;Maluku;446,771;2,444
20/10/2021 00.00.00;Maluku;449,063;2,292
21/10/2021 00.00.00;Maluku;451,886;2,823
22/10/2021 00.00.00;Maluku;455,409;3,523
23/10/2021 00.00.00;Maluku;457,554;2,145
24/10/2021 00.00.00;Maluku;457,755;0,201
25/10/2021 00.00.00;Maluku;460,665;2,91
26/10/2021 00.00.00;Maluku;463,921;3,256
27/10/2021 00.00.00;Maluku;466,894;2,973
28/10/2021 00.00.00;Maluku;471,037;4,143
29/10/2021 00.00.00;Maluku;476,121;5,084
30/10/2021 00.00.00;Maluku;480,434;4,313
31/10/2021 00.00.00;Maluku;481,464;1,03
01/11/2021 00.00.00;Maluku;486,196;4,732
02/11/2021 00.00.00;Maluku;490,023;3,827
03/11/2021 00.00.00;Maluku;493,771;3,748
04/11/2021 00.00.00;Maluku;497,343;3,572
05/11/2021 00.00.00;Maluku;500,443;3,1
06/11/2021 00.00.00;Maluku;504,599;4,156
07/11/2021 00.00.00;Maluku;505,42;0,821
08/11/2021 00.00.00;Maluku;509,329;3,909
09/11/2021 00.00.00;Maluku;514,5;5,171
10/11/2021 00.00.00;Maluku;520,674;6,174
11/11/2021 00.00.00;Maluku;525,12;4,446
12/11/2021 00.00.00;Maluku;528,834;3,714
13/11/2021 00.00.00;Maluku;533,287;4,453
14/11/2021 00.00.00;Maluku;535,368;2,081
15/11/2021 00.00.00;Maluku;541,837;6,469
16/11/2021 00.00.00;Maluku;547,257;5,42
17/11/2021 00.00.00;Maluku;553,207;5,95
18/11/2021 00.00.00;Maluku;558,549;5,342
19/11/2021 00.00.00;Maluku;562,575;4,026
20/11/2021 00.00.00;Maluku;566,731;4,156
21/11/2021 00.00.00;Maluku;567,308;0,577
22/11/2021 00.00.00;Maluku;572,095;4,787
23/11/2021 00.00.00;Maluku;576,723;4,628
24/11/2021 00.00.00;Maluku;581,586;4,863
25/11/2021 00.00.00;Maluku;586,497;4,911
26/11/2021 00.00.00;Maluku;591,003;4,506
27/11/2021 00.00.00;Maluku;598,66;7,657
28/11/2021 00.00.00;Maluku;600,365;1,705
29/11/2021 00.00.00;Maluku;608,24;7,875
30/11/2021 00.00.00;Maluku;616,666;8,426
01/12/2021 00.00.00;Maluku;622,716;6,05
02/12/2021 00.00.00;Maluku;628,834;6,118
03/12/2021 00.00.00;Maluku;633,53;4,696
04/12/2021 00.00.00;Maluku;640,281;6,751
05/12/2021 00.00.00;Maluku;641,971;1,69
06/12/2021 00.00.00;Maluku;649,189;7,218
07/12/2021 00.00.00;Maluku;658,986;9,797
08/12/2021 00.00.00;Maluku;668,321;9,335
09/12/2021 00.00.00;Maluku;677,803;9,482
10/12/2021 00.00.00;Maluku;686,58;8,777
11/12/2021 00.00.00;Maluku;696,571;9,991
12/12/2021 00.00.00;Maluku;698,935;2,364
13/12/2021 00.00.00;Maluku;708,765;9,83
14/12/2021 00.00.00;Maluku;717,099;8,334
15/12/2021 00.00.00;Maluku;727,936;10,837
